测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
podman,oe_test_podman_06,2023-02-03-04_18_28.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_07,2023-02-03-04_20_43.log,"timeout
",0,0,0,0,0,0,0,0,1
podman,oe_test_podman_08,2023-02-03-04_23_03.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_09,2023-02-03-04_25_20.log,"timeout
",0,0,0,0,0,0,0,0,1
podman,oe_test_podman_10,2023-02-03-04_55_28.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_11,2023-02-03-04_56_15.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_12,2023-02-03-04_56_58.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_13,2023-02-03-04_57_45.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_14,2023-02-03-04_58_31.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_15,2023-02-03-04_59_20.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
podman,oe_test_podman_16,2023-02-03-05_00_03.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_17,2023-02-03-05_00_51.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_18,2023-02-03-05_01_30.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_19,2023-02-03-05_02_07.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_20,2023-02-03-05_02_49.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_21,2023-02-03-05_03_21.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_22,2023-02-03-05_04_05.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_23,2023-02-03-05_04_50.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_24,2023-02-03-05_05_32.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_25,2023-02-03-05_06_15.log,,0,0,0,0,0,0,0,0,0
